order_id,customer_id,order_date,order_amount,status
O5151,C1081,2026-03-26,55.22,Completed
O5013,C1005,2026-08-29,69.65,Completed
O5148,C1079,2026-05-28,22.89,COMPLETE
O5175,C1092,2026-08-29,42.27,Completed
O5061,C1030,2026-01-23,22.03,Completed
O5102,C1053,2026-01-12,47.59,Completed
O5190,C1101,2025-09-15,73.89,Completed
O5129,C1067,2026-03-20,37.43,Completed
O5242,C1124,2026-07-07,56.97,Completed
O5040,C1019,2025-11-01,71.71,Completed
O5258,C1132,2025-06-16,77.36,Completed
O5202,C1107,2026-04-09,84.65,Completed
O5205,C1108,2025-11-25,70.96,Completed
O5127,C1067,2026-02-27,50.59,Completed
O5194,C1103,2025-07-28,35.63,Completed
O5187,C1099,2026-03-03,77.41,COMPLETE
O5275,C1141,2025-08-03,59.91,Completed
O5135,C1071,2025-10-31,38.39,Completed
O5256,C1131,2026-03-25,43.19,Refunded
O5184,C1098,2026-02-17,51.02,Completed
O5017,C1008,2025-11-08,40.2,Completed
O5234,C1120,2026-01-24,55.65,Completed
O5221,C1115,2026-08-03,70.67,Refunded
O5003,C1001,2026-04-16,87.77,Completed
O5138,C1074,2026-05-15,60.01,Completed
O5113,C1058,2026-05-19,39.36,Completed
O5276,C1141,2025-11-10,67.56,Completed
O5012,C1004,2026-05-29,81.57,Completed
O5266,C1137,2025-05-02,86.88,Completed
O5269,C1138,2025-12-06,,Completed
O5155,C1083,2026-06-22,51.35,Completed
O5054,C1026,2026-03-01,74.15,completed
O5055,C1026,2026-06-02,55.11,Completed
O5062,C1031,2025-08-31,79.55,Completed
O5015,C1006,2025-12-17,52.34,Completed
O5070,C1036,2026-07-03,47.03,Completed
O5026,C1010,2026-06-06,55.98,Completed
O5158,C1084,2026-03-16,52.79,Completed
O5215,C1113,2026-03-07,59.02,Cancelled
O5087,C1044,2026-01-30,79.05,Completed
O5240,C1123,2026-05-01,45.32,Cancelled
O5078,C1040,2026-01-31,66.93,Completed
O5023,C1009,2026-01-10,32.47,COMPLETE
O5122,C1064,2026-04-10,47.16,Completed
O5042,C1020,2026-02-20,51.59,Completed
O5235,C1121,2026-05-05,58.65,Completed
O5233,C1120,2025-11-07,48.44,Completed
O5276,C1141,2025-11-10,67.56,Completed
O5089,C1046,2026-02-21,67.86,Completed
O5145,C1078,2025-12-26,70.39,Completed
O5070,C1036,2026-07-03,,Completed
O5159,C1085,2026-06-09,55.7,Complete
O5053,C1026,2025-12-07,66.15,Completed
O5221,C1115,2026-08-03,70.67,Refunded
O5063,C1031,2025-12-09,42.05,Completed
O5140,C1076,2025-09-05,36.63,Completed
O5213,C1112,2026-04-20,50.4,Completed
O5263,C1135,2025-11-21,75.41,Completed
O5071,C1037,2026-06-12,83.16,Completed
O5203,C1107,2026-04-26,65.61,Completed
O5171,C1090,2026-02-11,49.13,Completed
O5160,C1086,2025-07-28,,Completed
O5045,C1022,2025-08-25,52.64,Completed
O5255,C1131,2026-01-12,69.31,Completed
O5098,C1051,2025-08-21,,Completed
O5124,C1066,2026-05-31,50.58,Completed
O5219,C1115,2026-04-17,29.72,Cancelled
O5259,C1133,2026-01-10,64.35,Completed
O5268,C1137,2025-06-30,38.9,Completed
O5004,C1002,2026-05-02,45.67,Completed
O5056,C1027,2026-07-29,56.65,Cancelled
O5137,C1073,2025-09-27,56.05,Completed
O5027,C1011,2026-06-24,43.08,Completed
O5096,C1049,2026-08-23,64.74,Completed
O5207,C1110,2025-10-01,23.98,Completed
