charge_id,member_id,charge_date,amount,status
CH9349,M2120,22-08-2025,,Success
CH9117,M2037,20-07-2026,19.84,Success
CH9074,M2023,08-02-2026,18.54,Success
CH9128,M2040,05-11-2025,38.72,Success
CH9016,M2004,12-09-2025,37.26,Success
CH9154,M2050,01-12-2025,17.99,Failed
CH9125,M2040,07-08-2025,37.16,Success
CH9231,M2075,22-10-2025,38.74,Success
CH9017,M2005,01-01-2026,19.39,Success
CH9288,M2097,26-01-2026,18.31,Success
CH9108,M2034,17-04-2026,20.32,Success
CH9344,M2119,02-03-2026,20.92,Success
CH9402,M2138,01-12-2025,41.22,SUCCESS
CH9158,M2051,16-02-2026,19.43,Success
CH9260,M2086,03-02-2026,37.79,Success
CH9198,M2064,12-06-2025,18.12,Refunded
CH9263,M2087,26-01-2026,19.85,Success
CH9202,M2066,24-09-2025,39.01,Success
CH9067,M2022,04-10-2025,0,Failed
CH9062,M2020,20-12-2025,39.46,Success
CH9127,M2040,06-10-2025,39.31,success
CH9335,M2113,10-08-2026,19.24,Success
CH9212,M2069,16-08-2025,17.97,Success
CH9289,M2097,25-02-2026,,Refunded
CH9180,M2056,01-10-2025,19.67,Cancelled
CH9299,M2099,27-04-2026,40.69,Refunded
CH9187,M2057,30-06-2026,,Success
CH9249,M2082,07-08-2026,37.26,Success
CH9354,M2122,02-06-2026,40.48,Failed
CH9360,M2125,01-07-2025,17.16,Success
CH9015,M2004,13-08-2025,39.41,Success
CH9190,M2059,31-12-2025,0.76,Failed
CH9082,M2025,05-01-2026,39.16,Success
CH9381,M2131,10-11-2025,17.26,Success
CH9329,M2111,19-01-2026,38.75,Success
CH9068,M2022,03-11-2025,1,Failed
CH9270,M2089,19-05-2026,21.49,Success
CH9138,M2045,06-12-2025,39.97,Success 
CH9390,M2134,02-11-2025,37.08,Success
CH9143,M2047,08-07-2026,20.69,Success
CH9196,M2063,27-08-2025,39.93,Success
CH9103,M2031,22-02-2026,20.79,SUCCESS
CH9129,M2041,03-10-2025,0,Failed
CH9206,M2067,09-07-2025,0.59,Failed
CH9242,M2078,10-02-2026,0,Success
CH9382,M2131,10-12-2025,19.59,success
CH9230,M2074,27-01-2026,39.02,Success
CH9378,M2129,16-06-2026,39.52,Success
CH9089,M2027,11-12-2025,18.04,Success
CH9102,M2031,23-01-2026,19.85,Success
CH9197,M2063,26-09-2025,38.31,Success
CH9282,M2095,17-06-2026,37.82,Refunded
CH9025,M2008,10-07-2026,39.24,Refunded
CH9131,M2042,27-10-2025,36.6,Success
CH9145,M2048,27-06-2025,0.4,Success
CH9137,M2044,08-07-2025,0.79,Success
CH9041,M2015,18-05-2026,39.39,Success
CH9400,M2136,16-08-2026,37.94,Success
CH9028,M2010,09-10-2025,0,failed
CH9032,M2013,28-09-2025,39.2,Refunded
CH9189,M2058,08-09-2025,38.99,Success
CH9106,M2033,28-06-2026,0,Cancelled
CH9057,M2019,11-02-2026,20.05,Success
CH9104,M2032,21-04-2026,0,Success
CH9084,M2025,06-03-2026,39.12,Success
CH9245,M2080,18-04-2026,18.22,Success
CH9228,M2074,28-11-2025,37.4,Success
CH9038,M2015,17-02-2026,40.22,Success
CH9377,M2129,17-05-2026,41.33,Cancelled
CH9210,M2068,14-08-2026,40.03,Success
CH9388,M2133,14-12-2025,17.97,Cancelled
CH9238,M2077,22-04-2026,0.12,Failed
CH9147,M2048,26-08-2025,0,Cancelled
CH9167,M2053,02-03-2026,39.75,Success
CH9283,M2095,17-07-2026,36.54,Success
CH9162,M2052,15-05-2026,18.21,Success
CH9229,M2074,28-12-2025,37.53,Failed
CH9287,M2096,27-02-2026,17.63,Success 
CH9379,M2130,15-04-2026,16.86,Success
CH9398,M2135,13-12-2025,21.55,Success
CH9339,M2116,26-08-2025,40.81,Success
CH9056,M2018,12-10-2025,19.46,Success
CH9310,M2102,01-02-2026,18.22,Success
CH9278,M2092,31-12-2025,2.29,Success
CH9293,M2097,25-06-2026,,Success
CH9383,M2132,05-09-2025,19.4,Success
CH9237,M2076,06-03-2026,0.56,Failed
CH9115,M2037,21-05-2026,19.37,Success
CH9246,M2080,18-05-2026,17.88,Success
CH9124,M2040,08-07-2025,,Success
CH9156,M2050,30-01-2026,19.88,Success
CH9324,M2108,23-02-2026,19.13,Success
CH9403,M2138,31-12-2025,40.57,Success
