member_id,signup_date,plan_type,region
M2000,2026-06-07,Basic,East
M2001,2025-11-29,Basic,North
M2002,2026-03-15,Premium,East
M2003,2025-12-24,Premium,South
M2004,2025-07-14,Premium,West
M2005,2025-12-02,Basic,South
M2006,2026-05-31,basic,North
M2007,2026-06-13,Basic,West
M2008,2026-06-10,Premium,North
M2009,2026-01-14,Trial,North
M2010,2025-09-09,Trial,South
M2011,2025-12-25,Basic,East
M2012,2026-01-28,Trial,West
M2013,2025-08-29,Premium,West
M2014,2026-06-08,Trial,East
M2015,2025-12-19,Premium,South
M2016,2025-09-25,Basic,West
M2017,2025-11-13,Premium,East
M2018,2025-06-14,Basic,West
M2019,2026-01-12,Basic,East
M2020,2025-09-21,Premium,North
M2021,2026-05-26,Trial,East
M2022,2025-09-04,Trial,North
M2023,2025-08-12,Basic,East
M2024,2026-01-09,Basic,
M2025,2025-09-07,Premium,South
M2026,2025-09-22,Premium,West
M2027,2025-10-12,Basic,South
M2028,2026-02-14,trial,North
M2029,2025-08-22,Basic,North
M2030,2026-05-16,Basic,West
M2031,2025-09-25,Basic,West
M2032,2026-03-22,Trial,East
M2033,2026-05-29,trial,West
M2034,2026-02-16,Basic,East
M2035,2025-10-06,Trial,North
M2036,2026-02-05,Basic,West
M2037,2026-03-22,Basic,North
M2038,2026-03-17,Premium,South
M2039,2025-05-18,Trial,West
M2040,2025-06-08,premium,East
M2041,2025-09-03,Trial,North
M2042,2025-09-27,PREMIUM,West
M2043,2026-02-20,Premium,West
M2044,2025-06-08,Trial,East
M2045,2025-11-06,Premium,West
M2046,2026-03-31,Basic,East
M2047,2026-05-09,Basic,East
M2048,2025-05-28,Trial,
M2049,2025-10-30,Basic,South
M2050,2025-09-02,Basic,West
M2051,2026-01-17,Basic,West
M2052,2026-04-15,Basic,North
M2053,2026-01-01,Premium,East
M2054,2026-01-02,Basic,West
M2055,2026-01-07,Basic,East
M2056,2025-09-01,Basic ,East
M2057,2026-01-31,Basic,South
M2058,2025-07-10,Premium,South
M2059,2025-12-01,Trial,South
M2060,2026-05-17,Trial,West
M2061,2025-07-21,Basic,West
M2062,2025-06-06,Trial,West
M2063,2025-05-29,Premium,East
M2064,2025-05-13,Basic,West
M2065,2025-08-14,Premium,South
M2066,2025-08-25,Premium,West
M2067,2025-06-09,Trial,North
M2068,2026-04-16,Premium,North
M2069,2025-06-17,Basic,East
M2070,2025-08-27,Trial,West
M2071,2025-08-26,Premium,North
M2072,2025-12-23,PREMIUM,East
M2073,2026-01-04,Premium,East
M2074,2025-10-29,Premium,West
M2075,2025-09-22,premium,East
M2076,2026-02-04,Trial,West
M2077,2026-03-23,Trial,West
M2078,2025-11-12,Trial,North
M2079,2026-06-10,PREMIUM,West
M2080,2026-03-19,Basic,East
M2081,2025-09-17,Basic,South
M2082,2026-06-08,Premium,
M2083,2025-08-08,Trial,South
M2084,2026-02-15,Premium,North
M2085,2026-02-13,Basic,West
M2086,2025-09-06,PREMIUM,
M2087,2025-12-27,Basic,West
M2088,2025-09-23,Premium,South
M2089,2026-03-20,Basic,North
M2090,2025-09-04,Premium,North
M2091,2026-01-15,Basic,East
M2092,2025-12-01,Trial,East
M2093,2025-08-26,Premium,West
M2094,2026-05-11,Trial,East
M2095,2026-05-18,Premium,West
M2096,2025-11-29,Basic,South
M2097,2025-12-27,Basic,
M2098,2025-08-25,Premium,South
M2099,2026-02-26,Premium,West
M2100,2026-04-16,Basic,West
M2101,2026-02-07,Basic,West
M2102,2025-11-03,Basic,South
M2103,2026-03-20,Trial,North
M2104,2025-09-20,Trial ,South
M2105,2026-03-13,Premium,West
M2106,2025-07-13,Basic,
M2107,2025-10-20,Basic,North
M2108,2026-01-24,Basic,West
M2109,2025-05-16,basic,East
M2110,2026-03-10,Trial,South
M2111,2025-11-20,Premium,West
M2112,2025-11-30,Basic,East
M2113,2026-05-12,Basic,South
M2114,2025-09-10,Premium,North
M2115,2025-06-30,Trial,West
M2116,2025-06-27,Premium,East
M2117,2026-03-25,Trial,East
M2118,2025-09-29,Trial,East
M2119,2026-01-31,Basic,East
M2120,2025-05-24,Basic,West
M2121,2026-02-21,Basic,
M2122,2026-05-03,Premium,
M2123,2025-07-31,Premium,North
M2124,2026-05-10,TRIAL,South
M2125,2025-06-01,Basic,West
M2126,2025-09-29,Basic,East
M2127,2025-08-21,Basic ,East
M2128,2025-08-29,Premium,East
M2129,2026-01-17,Premium,West
M2130,2026-03-16,Basic,West
M2131,2025-10-11,Basic,South
M2132,2025-08-06,basic,North
M2133,2025-08-16,Basic,North
M2134,2025-10-03,Premium,North
M2135,2025-10-14,Basic,East
M2136,2026-06-17,Premium,North
M2137,2026-03-02,Trial,North
M2138,2025-11-01,Premium,North
M2139,2025-08-16,Premium,West
